                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                 1.1811,                0.86117,                 1.4641,                0.64231,                0.35849,                 0.4728,                0.25668,                 1.7272,                 1.7837,                 2.0012,              0.0007724,              0.0007724,              0.0007724
                    126,                 1.2366,                0.90906,                 1.4989,                0.59874,                0.39421,                0.46061,                0.26038,                 1.7473,                 1.8757,                 2.0019,              0.0007625,              0.0007625,              0.0007625
                    127,                 1.1744,                 0.8669,                 1.4978,                0.57717,                0.37736,                0.47647,                0.26335,                 1.7746,                 2.0217,                 1.9939,              0.0007526,              0.0007526,              0.0007526
                    128,                 1.3087,                 0.9432,                 1.5252,                0.53717,                0.43396,                0.45635,                0.23184,                 1.8501,                 2.0371,                  2.049,              0.0007427,              0.0007427,              0.0007427
                    129,                  1.147,                0.82798,                 1.4272,                0.48792,                0.41509,                0.45369,                0.22311,                 1.7732,                 1.8663,                 1.9948,              0.0007328,              0.0007328,              0.0007328
                    130,                 1.1435,                0.91626,                 1.4794,                0.50014,                0.54749,                0.52028,                0.26077,                 1.7649,                  1.724,                 2.0134,              0.0007229,              0.0007229,              0.0007229
                    131,                 1.2088,                0.97785,                 1.5463,                0.49038,                0.56287,                0.55482,                0.28925,                 1.7503,                 1.6358,                 2.0133,               0.000713,               0.000713,               0.000713
                    132,                 1.1522,                0.83552,                 1.4993,                0.54947,                0.50943,                0.51543,                 0.3024,                 1.6842,                 1.6663,                 1.9058,              0.0007031,              0.0007031,              0.0007031
                    133,                 1.1438,                0.82723,                 1.4075,                0.57977,                0.41509,                0.48472,                0.26922,                 1.7519,                 1.7747,                 1.9657,              0.0006932,              0.0006932,              0.0006932
                    134,                 1.1602,                0.90504,                 1.4504,                0.74246,                0.39623,                0.52293,                0.28511,                 1.6921,                 1.6783,                  1.958,              0.0006833,              0.0006833,              0.0006833
                    135,                 1.1279,                0.86694,                 1.4251,                0.54159,                0.43396,                0.48185,                0.26666,                 1.6792,                 1.7523,                 1.9709,              0.0006734,              0.0006734,              0.0006734
                    136,                 1.1674,                   1.02,                 1.4764,                 0.5057,                 0.4717,                0.48549,                0.28744,                 1.6411,                 1.6698,                 1.9255,              0.0006635,              0.0006635,              0.0006635
                    137,                 1.1688,                0.87537,                  1.502,                0.65166,                0.50943,                 0.5064,                0.29689,                 1.7226,                 1.6317,                 1.9329,              0.0006536,              0.0006536,              0.0006536
                    138,                 1.1132,                0.84417,                 1.3905,                0.67854,                0.43396,                0.48102,                0.28878,                 1.7033,                 1.7856,                 1.9566,              0.0006437,              0.0006437,              0.0006437
                    139,                 1.1597,                  0.959,                 1.5435,                0.64231,                0.39623,                 0.4876,                0.29989,                 1.6949,                 1.7141,                 1.9623,              0.0006338,              0.0006338,              0.0006338
                    140,                 1.1726,                 0.9358,                 1.4825,                 0.6917,                0.39623,                0.46165,                0.26394,                 1.7269,                 1.8052,                 1.9932,              0.0006239,              0.0006239,              0.0006239
                    141,                 1.0392,                 0.7865,                 1.3554,                0.59579,                0.39623,                0.43007,                 0.2049,                 1.8049,                  1.998,                 2.0629,               0.000614,               0.000614,               0.000614
                    142,                 1.1332,                0.91058,                 1.4834,                0.62557,                0.35849,                0.42064,                0.24354,                 1.6326,                 1.9683,                 1.9122,              0.0006041,              0.0006041,              0.0006041
                    143,                 1.1851,                0.84617,                 1.4041,                0.64684,                0.41471,                0.45552,                0.25624,                 1.7227,                 1.9207,                 1.9437,              0.0005942,              0.0005942,              0.0005942
                    144,                  1.099,                0.85037,                  1.378,                0.65295,                0.45283,                0.49518,                0.26692,                  1.783,                 1.9161,                 1.9775,              0.0005843,              0.0005843,              0.0005843
                    145,                 1.0927,                0.86102,                 1.3946,                0.59995,                0.62264,                0.61921,                0.34887,                 1.6768,                 1.5544,                 1.9395,              0.0005744,              0.0005744,              0.0005744
