                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.80321,                 1.0063,                 1.0753,                 1.0071,                0.99621,                0.83333,                0.93626,                 0.5165,                0.99621,                0.83333,                0.93626,                0.57485,                 1.5131,                 2.0892,                 1.9102,                 1.3844,              0.0011288,              0.0011288,              0.0011288
                     46,                0.79717,                 1.1184,                0.92023,                0.95667,                      1,                0.66514,                 0.8447,                0.51241,                      1,                0.66514,                0.81011,                0.50312,                 1.3184,                 2.4331,                 1.9618,                 1.2223,               0.001109,               0.001109,               0.001109
                     47,                0.73579,                0.99952,                0.91506,                0.94057,                0.99335,                0.66667,                0.81955,                0.50293,                0.99335,                0.66667,                0.80689,                0.39817,                 1.2548,                 2.7599,                 2.0384,                 1.1979,              0.0010892,              0.0010892,              0.0010892
                     48,                0.76398,                 1.0527,                0.94193,                0.93682,                0.99478,                0.66667,                0.83037,                 0.5469,                0.99478,                0.66667,                0.83037,                0.38465,                 1.1267,                 2.8604,                 1.8671,                 1.1623,              0.0010694,              0.0010694,              0.0010694
                     49,                0.78958,                  1.268,                 0.9564,                0.99823,                0.99478,                0.66667,                0.83037,                 0.5469,                0.99478,                0.66667,                0.83037,                0.38465,                 1.1267,                 2.8604,                 1.8671,                 1.1623,              0.0010496,              0.0010496,              0.0010496
                     50,                0.79902,                 1.2977,                0.89485,                0.93414,                      1,                0.82392,                0.90636,                0.57686,                      1,                0.82392,                 0.9396,                0.56164,                 1.2433,                 2.2464,                 1.7046,                 1.2135,              0.0010298,              0.0010298,              0.0010298
                     51,                0.83142,                 1.2233,                  1.007,                0.98038,                0.91584,                0.90756,                0.92967,                0.58244,                0.91584,                0.90756,                0.92967,                0.59412,                 1.3469,                 2.1452,                 1.6389,                 1.4389,                0.00101,                0.00101,                0.00101
                     52,                0.76957,                0.97227,                0.81552,                0.92152,                      1,                0.91263,                0.93346,                0.58379,                      1,                0.91263,                0.93346,                0.57014,                 1.2441,                 2.4005,                 1.5803,                 1.3775,              0.0009902,              0.0009902,              0.0009902
                     53,                0.65236,                0.99469,                0.79746,                0.87611,                      1,                0.91263,                0.93346,                0.58379,                      1,                0.91263,                0.93346,                0.57014,                 1.2441,                 2.4005,                 1.5803,                 1.3775,              0.0009704,              0.0009704,              0.0009704
                     54,                 0.7674,                 1.1737,                0.81708,                 0.9669,                0.99487,                0.91667,                0.93841,                0.61112,                0.99487,                0.91667,                0.93841,                0.59303,                 1.0855,                 2.3449,                 1.5209,                 1.1841,              0.0009506,              0.0009506,              0.0009506
                     55,                0.77404,                 1.1019,                0.81936,                0.95596,                0.99175,                0.91667,                  0.955,                0.64676,                0.99175,                0.91667,                0.97147,                0.59764,                 1.0022,                 2.1639,                 1.5207,                 1.1604,              0.0009308,              0.0009308,              0.0009308
                     56,                0.67471,                 1.1804,                0.82441,                0.97139,                0.98806,                0.91667,                  0.975,                0.66233,                0.98806,                0.91667,                0.98885,                0.62079,                 1.0605,                 2.1379,                 1.5408,                 1.2273,               0.000911,               0.000911,               0.000911
                     57,                 0.7761,                 1.2468,                0.92938,                  0.957,                0.98806,                0.91667,                  0.975,                0.66233,                0.98806,                0.91667,                0.98885,                0.62079,                 1.0605,                 2.1379,                 1.5408,                 1.2273,              0.0008912,              0.0008912,              0.0008912
                     58,                0.67382,                 1.0289,                0.80287,                0.92945,                0.99194,                0.91667,                0.98357,                0.60507,                0.99194,                0.91667,                0.98357,                0.61555,                 1.1326,                 2.1532,                 1.5425,                 1.2584,              0.0008714,              0.0008714,              0.0008714
                     59,                 0.7251,                 1.0371,                0.82013,                0.95772,                      1,                0.91416,                0.96833,                0.57284,                      1,                0.91416,                0.96833,                0.58562,                 1.2275,                 2.1678,                 1.5115,                 1.2924,              0.0008516,              0.0008516,              0.0008516
                     60,                0.69618,                 1.0965,                0.82884,                0.94095,                      1,                0.89214,                0.96071,                0.57788,                      1,                0.89214,                0.96071,                0.59172,                 1.2934,                 2.1277,                 1.6285,                 1.2918,              0.0008318,              0.0008318,              0.0008318
                     61,                0.60451,                0.99678,                0.79022,                0.89768,                      1,                0.89214,                0.96071,                0.57788,                      1,                0.89214,                0.96071,                0.59172,                 1.2934,                 2.1277,                 1.6285,                 1.2918,               0.000812,               0.000812,               0.000812
                     62,                 0.7125,                 1.0533,                0.82535,                0.94922,                0.99692,                0.91667,                  0.979,                0.62335,                0.99692,                0.91667,                  0.979,                0.61854,                 1.2188,                 2.1904,                 1.5143,                  1.219,              0.0007922,              0.0007922,              0.0007922
                     63,                0.70203,                 1.0607,                0.81964,                0.93448,                0.98825,                0.91667,                0.98357,                0.63181,                0.98825,                0.91667,                0.98357,                0.65423,                 1.1912,                 2.1643,                 1.4331,                 1.1829,              0.0007724,              0.0007724,              0.0007724
                     64,                0.60393,                  0.855,                0.68791,                 0.8989,                 0.9199,                      1,                0.98885,                 0.6492,                 0.9199,                      1,                0.98885,                0.66511,                 1.2016,                 2.2083,                 1.4005,                 1.1762,              0.0007526,              0.0007526,              0.0007526
                     65,                0.66824,                 1.0206,                0.77781,                0.91709,                 0.9199,                      1,                0.98885,                 0.6492,                 0.9199,                      1,                0.98885,                0.66511,                 1.2016,                 2.2083,                 1.4005,                 1.1762,              0.0007328,              0.0007328,              0.0007328
                     66,                0.71601,                 1.0075,                 0.7313,                0.94441,                0.91711,                      1,                0.97577,                0.63328,                0.91711,                      1,                0.97577,                0.65704,                 1.2272,                 2.1442,                 1.3489,                 1.1736,               0.000713,               0.000713,               0.000713
                     67,                0.63778,                0.93982,                0.70331,                0.93248,                0.91217,                      1,                0.96962,                0.64416,                0.91217,                      1,                0.96962,                0.65971,                 1.2224,                 2.0061,                 1.4353,                 1.1777,              0.0006932,              0.0006932,              0.0006932
                     68,                0.58464,                0.90101,                0.76816,                0.88183,                0.85786,                      1,                0.97577,                0.63502,                0.85786,                      1,                0.97577,                0.66106,                  1.225,                 2.0187,                 1.5097,                 1.1923,              0.0006734,              0.0006734,              0.0006734
                     69,                0.57223,                0.88612,                0.68262,                 0.8659,                0.85786,                      1,                0.97577,                0.63502,                0.85786,                      1,                0.97577,                0.66106,                  1.225,                 2.0187,                 1.5097,                 1.1923,              0.0006536,              0.0006536,              0.0006536
                     70,                0.65253,                0.93276,                 0.7881,                0.91784,                0.92249,                0.99237,                0.97577,                0.62403,                0.92249,                0.99237,                0.97577,                0.64994,                 1.2292,                 2.1031,                 1.5319,                 1.2063,              0.0006338,              0.0006338,              0.0006338
                     71,                0.62169,                 0.9308,                0.71224,                0.90064,                0.87791,                      1,                0.98269,                0.64207,                0.87791,                      1,                0.98269,                0.65867,                 1.2412,                 2.2343,                 1.4363,                 1.2509,               0.000614,               0.000614,               0.000614
                     72,                0.62245,                0.96891,                0.71484,                0.91063,                0.92258,                 0.9935,                0.98269,                0.61053,                0.92258,                 0.9935,                0.98269,                0.62314,                 1.3031,                 2.4001,                 1.3624,                 1.3025,              0.0005942,              0.0005942,              0.0005942
                     73,                0.64962,                0.91674,                0.70349,                0.93304,                0.92258,                 0.9935,                0.98269,                0.61053,                0.92258,                 0.9935,                0.98269,                0.62314,                 1.3031,                 2.4001,                 1.3624,                 1.3025,              0.0005744,              0.0005744,              0.0005744
                     74,                0.60715,                0.93738,                0.69884,                0.92164,                0.85067,                      1,                 0.9694,                0.60867,                0.85067,                      1,                 0.9694,                0.58906,                 1.3494,                 2.4933,                 1.3158,                 1.3358,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.6265,                 0.9171,                 0.7243,                0.91213,                0.91539,                      1,                0.98269,                0.60842,                0.91539,                      1,                0.98269,                0.61562,                 1.3534,                 2.5217,                 1.3116,                 1.3588,              0.0005348,              0.0005348,              0.0005348
                     76,                0.54232,                0.88566,                0.64959,                0.90105,                0.91823,                      1,                0.98885,                0.61277,                0.91823,                      1,                0.98885,                0.61026,                 1.3062,                 2.4893,                 1.2656,                 1.3597,               0.000515,               0.000515,               0.000515
                     77,                0.62177,                 0.8403,                0.69731,                0.87778,                0.91823,                      1,                0.98885,                0.61277,                0.91823,                      1,                0.98885,                0.61026,                 1.3062,                 2.4893,                 1.2656,                 1.3597,              0.0004952,              0.0004952,              0.0004952
                     78,                0.56949,                0.90973,                 0.6654,                0.88095,                0.91949,                      1,                0.98269,                0.61653,                0.91949,                      1,                0.98269,                0.57395,                 1.2625,                 2.5317,                 1.1582,                 1.3775,              0.0004754,              0.0004754,              0.0004754
                     79,                0.56447,                 0.8414,                0.64903,                0.90857,                      1,                0.99736,                  0.995,                0.62363,                      1,                0.99736,                  0.995,                0.56003,                 1.2662,                 2.5726,                 1.1358,                 1.4051,              0.0004556,              0.0004556,              0.0004556
                     80,                0.55163,                0.81459,                 0.6853,                0.88968,                0.99741,                      1,                  0.995,                0.61307,                0.99741,                      1,                  0.995,                0.55961,                 1.2894,                 2.6166,                 1.0963,                 1.3981,              0.0004358,              0.0004358,              0.0004358
                     81,                0.55007,                0.91622,                0.66267,                0.87866,                0.99741,                      1,                  0.995,                0.61307,                0.99741,                      1,                  0.995,                0.55961,                 1.2894,                 2.6166,                 1.0963,                 1.3981,               0.000416,               0.000416,               0.000416
                     82,                0.53035,                0.88625,                0.69381,                0.89783,                0.99627,                      1,                  0.995,                0.61881,                0.99627,                      1,                  0.995,                 0.5971,                   1.28,                 2.6489,                 1.0589,                 1.3714,              0.0003962,              0.0003962,              0.0003962
                     83,                0.60137,                0.88019,                0.70177,                0.87985,                0.99576,                      1,                  0.995,                0.64076,                0.99576,                      1,                  0.995,                0.60681,                 1.2574,                 2.6372,                 1.0163,                 1.3571,              0.0003764,              0.0003764,              0.0003764
                     84,                0.61857,                0.98902,                0.65882,                0.87795,                0.99527,                      1,                  0.995,                 0.6639,                0.99527,                      1,                  0.995,                0.62734,                 1.1777,                 2.6509,                  1.007,                 1.3092,              0.0003566,              0.0003566,              0.0003566
                     85,                0.58855,                0.80447,                0.66355,                0.89467,                0.99527,                      1,                  0.995,                 0.6639,                0.99527,                      1,                  0.995,                0.62734,                 1.1777,                 2.6509,                  1.007,                 1.3092,              0.0003368,              0.0003368,              0.0003368
